É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2024/10/13 09:28:46

,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs
îNåéì˙,ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœäCñ ãCà≥(hPa),ïΩãœäCñ ãCà≥(hPa),ïΩãœäCñ ãCà≥(hPa),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,,,,,,,,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2014/6/1,33,8,1,1012.7,8,1,0,1,8,1,27.4,8,1,36.0,8,1,19.1,8,1
2014/6/2,49,8,1,1012.4,8,1,0,1,8,1,26.5,8,1,34.3,8,1,21.1,8,1
2014/6/3,54,8,1,1011.5,8,1,0.0,0,8,1,25.6,8,1,32.3,8,1,22.1,8,1
2014/6/4,61,8,1,1009.6,8,1,2.0,0,8,1,23.6,8,1,26.9,8,1,20.7,8,1
2014/6/5,72,8,1,1004.9,8,1,6.5,0,8,1,20.7,8,1,22.6,8,1,18.5,8,1
2014/6/6,71,8,1,1003.2,8,1,0.0,0,8,1,23.1,8,1,27.4,8,1,20.5,8,1
2014/6/7,77,8,1,1003.8,8,1,0.5,0,8,1,22.6,8,1,25.3,8,1,20.0,8,1
2014/6/8,69,8,1,1005.7,8,1,0.5,0,8,1,24.6,8,1,31.5,8,1,20.3,8,1
2014/6/9,65,8,1,1010.2,8,1,2.0,0,8,1,25.6,8,1,30.7,8,1,21.4,8,1
2014/6/10,69,8,1,1010.9,8,1,2.0,0,8,1,24.9,8,1,29.6,8,1,22.4,8,1
2014/6/11,73,8,1,1004.8,8,1,1.5,0,8,1,23.2,8,1,25.8,8,1,20.7,8,1
2014/6/12,75,8,1,997.4,8,1,4.0,0,8,1,22.5,8,1,27.9,8,1,19.6,8,1
2014/6/13,62,8,1,1002.4,8,1,0.0,0,8,1,22.0,8,1,26.9,8,1,18.5,8,1
2014/6/14,62,8,1,1007.2,8,1,0.0,0,8,1,22.8,8,1,28.9,8,1,17.3,8,1
2014/6/15,54,8,1,1006.2,8,1,0.0,0,8,1,25.0,8,1,30.8,8,1,19.5,8,1
2014/6/16,53,8,1,1005.6,8,1,0,1,8,1,25.1,8,1,30.9,8,1,19.2,8,1
2014/6/17,57,8,1,1006.6,8,1,0,1,8,1,24.2,8,1,28.6,8,1,20.6,8,1
2014/6/18,68,8,1,1003.6,8,1,0.0,0,8,1,22.0,8,1,24.0,8,1,19.8,8,1
2014/6/19,58,8,1,1005.8,8,1,0,1,8,1,24.4,8,1,31.6,8,1,18.3,8,1
